wallet,ei_seller,ei_buyer
0x7f1cb0715b6c0b0058d87e26e7184c9ee7cdea55,893,4280
0xbd3cd009f4b227f15a15acb6e0fda58bc02292d4,894,2725
0xd15dea01ee1eb86445c1a0f3e15fb675c24499ef,898,21
0x240ad467a71210629d71d4de22ebde27951c83fc,901,3245
0x81e5cd19323ce7f6b36c9511fbc98d477a188b13,902,2928
0xf4a8b052afbd2584d0a12c1711887ef8b2f4b44a,906,4312
0xc8787833939577e6da74ec75c4f73ef9fdc5cdd2,907,3833
0xb8dc9d4bbeb6705fdba1f89458a4bc2a2066a6c9,909,2954
0x98c0fe160b049d3436d2c3c26bf454fcfad2a8c1,911,43
0x23eebb090c430783bf0665478ea6d5793b44a3c3,912,2
0xb394f1aa30ba874df3ae6097bf4c2474b2d8f3ac,920,2810
0x6e6f1ecefa9e7cae3efcd54e06ac8b7cc9f7d25a,921,288
0xd5312102a9f1dfd88649ddcf99f7d4b9519eacb1,924,3436
0xbc95fa5a2ecb38a5f7e8904623cc941e17b6e79f,926,4628
0x7c5da3494087cba0ae94f928482ca355653ad048,930,369
0xe61ecc646799bb74405e676656c0f6300d0ab999,931,3688
0xa8bafc88e36ba1223dff19452309f96e1b351e67,934,3486
0x21316e6a4f0af45e5f1503984e83b10c53b177d8,935,2847
0x04bf698d78bf2deb753a0a48d53d042a6b9de31d,940,3616
0x461ae8c33224aceb7f1259095dd2a334ad20f322,941,2739
0x1934200c2e77bd2808c46e23b545b4c3bbdf7562,945,3809
0x8e662143178bb8c797620a3a61f34a71832475b0,949,2986
0xb66c25d27fc323b12986861a443c0ab3554ebd34,951,4210
0xe13d4abee4b304b67c52a56871141cad1b833aa7,955,2935
0x5cbb31e39ca93ca13d8e9f686bf749b14076bc65,956,2613
0x0fa074262d6af761fb57751d610dc92bac82aef9,957,4843
0x987d113368e1dc4f411f5b192b20dcdd6e93df7b,960,4277
0xc9c929a04bbc859deeed513c2c79675f040065e1,961,4933
0x15cabad1f726aa1a7d0c49e7fa3ce0d8db9bcd65,962,3061
0xa7b33cd26f27f1c6b709db5cae442e42387ba69a,963,193
0x48c94e8f4c0f0a125bed72e292c8dc84673e4dfc,965,3904
0x8fe5e9314ee0393203efa93470a2314e265ce1a8,966,105
0x2e77cf8e5536732627544d13edceb16dec748763,968,130
0x16f33b4978301453a9ca8e6b33d1e45f3a8dfdea,970,256
0x4b90f1b1af8bf85577e1a2e2c170e38971711eff,971,67
0x91d849a3677b00ba76a26313750e9a433445f7b0,977,2930
0x8ddcfa05335e325805a72b27a47660369d1abe05,978,3070
0x701193aeb6183389f2993dc81c5231751ff5c6ba,979,1213
0x36bd6221c2016371c3af00071726578b91acb007,981,4492
0x37f37f24b4f662913faecaaf050d1ca1fcf074cf,983,2846
0xbd366befd23af4102caba7e11100df3a0c645346,986,2866
0x3a610204f4baf704e4c174a4855fc0d22388831e,989,3112
0xaa29f503cde18ab560c32708195c8ec43f26748b,993,2856
0xc454e2b4ebb3c74b2caf83e74067a8055b375e4e,996,4006
0xa7f3a41f818542c3c958e6aba8b35868c94d7b2a,999,4641
0x7b03418b0126042256456561e51411dae985ed15,1000,3114
0x129cca387eacfe191d8edde1d8d9723b6b891a8b,1001,3143
0x46c1794df805bfb5761726c60a8148158dab87e2,1002,3619
0xe9822f18f2654e606a8dff9d75edd98367e7c0ae,1006,5215
0x5c7c0fdc44b44673f070535897d1208104a28950,1007,3270
0x17b59adc021a45e5f5f119f1a691928d688cfe55,1008,2978
0x7e1dcf785f0353bf657c38ab7865c1f184efe208,1009,5324
0x363e6c9ccae7c062ab9cdbe6da83657c458e72a8,1014,3338
0xfbb589251a5dcd955f51fc36e560b18fa8a5e974,1016,2642
0x981ca273ef14eaa13dc04f4779da65f765de9a77,1017,2888
0x7535da202d79ca57299918c60c218f9b779aa14c,1018,2630
